,serialNumber,stage
382,20UPBGT0000384,QC1
383,20UPBGT0000385,QC1
384,20UPBGT0000386,QC1
385,20UPBGT0000387,QC1
386,20UPBGT0000388,QC1
387,20UPBGT0000389,QC1
388,20UPBGT0000390,QC1
389,20UPBGT0000391,QC1
390,20UPBGT0000392,QC1
391,20UPBGT0000393,QC1
392,20UPBGT0000394,QC1
393,20UPBGT0000395,QC1
394,20UPBGT0000396,QC1
395,20UPBGT0000397,QC1
396,20UPBGT0000398,QC1
397,20UPBGT0000399,QC1
398,20UPBGT0000400,QC1
399,20UPBGT0000401,QC1
400,20UPBGT0000402,QC1
401,20UPBGT0000403,QC1
402,20UPBGT0000404,QC1
403,20UPBGT0000405,QC1
404,20UPBGT0000406,QC1
405,20UPBGT0000407,QC1
406,20UPBGT0000408,QC1
407,20UPBGT0000409,QC1
408,20UPBGT0000410,QC1
409,20UPBGT0000411,QC1
410,20UPBGT0000412,QC1
411,20UPBGT0000413,QC1
412,20UPBGT0000414,QC1
413,20UPBGT0000415,QC1
414,20UPBGT0000416,QC1
415,20UPBGT0000417,QC1
416,20UPBGT0000418,QC1
417,20UPBGT0000419,QC1
418,20UPBGT0000420,QC1
419,20UPBGT0000421,QC1
420,20UPBGT0000422,QC1
421,20UPBGT0000423,QC1
422,20UPBGT0000424,QC1
423,20UPBGT0000425,QC1
424,20UPBGT0000426,QC1
425,20UPBGT0000427,QC1
426,20UPBGT0000428,QC1
427,20UPBGT0000429,QC1
428,20UPBGT0000430,QC1
429,20UPBGT0000431,QC1
430,20UPBGT0000432,QC1
431,20UPBGT0000433,QC1
432,20UPBGT0000434,QC1
433,20UPBGT0000435,QC1
434,20UPBGT0000436,QC1
435,20UPBGT0000437,QC1
436,20UPBGT0000438,QC1
437,20UPBGT0000439,QC1
438,20UPBGT0000440,QC1
439,20UPBGT0000441,QC1
440,20UPBGT0000442,QC1
441,20UPBGT0000443,QC1
442,20UPBGT0000444,QC1
443,20UPBGT0000445,QC1
444,20UPBGT0000446,QC1
445,20UPBGT0000447,QC1
446,20UPBGT0000448,QC1
447,20UPBGT0000449,QC1
448,20UPBGT0000450,QC1
449,20UPBGT0000451,QC1
450,20UPBGT0000452,QC1
451,20UPBGT0000453,QC1
452,20UPBGT0000454,QC1
453,20UPBGT0000455,QC1
454,20UPBGT0000456,QC1
455,20UPBGT0000457,QC1
456,20UPBGT0000458,QC1
457,20UPBGT0000459,QC1
458,20UPBGT0000460,QC1
459,20UPBGT0000461,QC1
460,20UPBGT0000462,QC1
461,20UPBGT0000463,QC1
462,20UPBGT0000464,QC1
463,20UPBGT0000465,QC1
464,20UPBGT0000466,QC1
465,20UPBGT0000467,QC1
466,20UPBGT0000468,QC1
467,20UPBGT0000469,QC1
468,20UPBGT0000470,QC1
469,20UPBGT0000471,QC1
470,20UPBGT0000472,QC1
471,20UPBGT0000473,QC1
472,20UPBGT0000474,QC1
473,20UPBGT0000475,QC1
474,20UPBGT0000476,QC1
475,20UPBGT0000477,QC1
476,20UPBGT0000478,QC1
477,20UPBGT0000479,QC1
478,20UPBGT0000480,QC1
479,20UPBGT0000481,QC1
480,20UPBGT0000482,QC1
481,20UPBGT0000483,QC1
482,20UPBGT0000484,QC1
483,20UPBGT0000485,QC1
484,20UPBGT0000486,QC1
485,20UPBGT0000487,QC1
486,20UPBGT0000488,QC1
487,20UPBGT0000489,QC1
488,20UPBGT0000490,QC1
489,20UPBGT0000491,QC1
490,20UPBGT0000492,QC1
491,20UPBGT0000493,QC1
492,20UPBGT0000494,QC1
493,20UPBGT0000495,QC1
494,20UPBGT0000496,QC1
495,20UPBGT0000497,QC1
496,20UPBGT0000498,QC1
497,20UPBGT0000499,QC1
498,20UPBGT0000500,QC1
499,20UPBGT0000501,QC1
500,20UPBGT0000502,QC1
501,20UPBGT0000503,QC1
502,20UPBGT0000504,QC1
503,20UPBGT0000505,QC1
504,20UPBGT0000506,QC1
505,20UPBGT0000507,QC1
506,20UPBGT0000508,QC1
507,20UPBGT0000509,QC1
508,20UPBGT0000510,QC1
509,20UPBGT0000511,QC1
510,20UPBGT0000512,QC1
511,20UPBGT0000513,QC1
512,20UPBGT0000514,QC1
513,20UPBGT0000515,QC1
514,20UPBGT0000516,QC1
515,20UPBGT0000517,QC1
516,20UPBGT0000518,QC1
517,20UPBGT0000519,QC1
518,20UPBGT0000520,QC1
519,20UPBGT0000521,QC1
520,20UPBGT0000522,QC1
521,20UPBGT0000523,QC1
522,20UPBGT0000524,QC1
523,20UPBGT0000525,QC1
524,20UPBGT0000526,QC1
525,20UPBGT0000527,QC1
526,20UPBGT0000528,QC1
527,20UPBGT0000529,QC1
528,20UPBGT0000530,QC1
529,20UPBGT0000531,QC1
530,20UPBGT0000532,QC1
531,20UPBGT0000533,QC1
532,20UPBGT0000534,QC1
533,20UPBGT0000535,QC1
534,20UPBGT0000536,QC1
535,20UPBGT0000537,QC1
536,20UPBGT0000538,QC1
537,20UPBGT0000539,QC1
538,20UPBGT0000540,QC1
539,20UPBGT0000541,QC1
