,serialNumber,stage
192,20UPBBB0002598,QC_BEFORE_NI_COATING
193,20UPBBB0002599,QC_BEFORE_NI_COATING
194,20UPBBB0002600,QC_BEFORE_NI_COATING
195,20UPBBB0002601,QC_BEFORE_NI_COATING
196,20UPBBB0002602,QC_BEFORE_NI_COATING
197,20UPBBB0002603,QC_BEFORE_NI_COATING
198,20UPBBB0002604,QC_BEFORE_NI_COATING
199,20UPBBB0002605,QC_BEFORE_NI_COATING
200,20UPBBB0002606,QC_BEFORE_NI_COATING
201,20UPBBB0002607,QC_BEFORE_NI_COATING
202,20UPBBB0002608,QC_BEFORE_NI_COATING
203,20UPBBB0002609,QC_BEFORE_NI_COATING
204,20UPBBB0002610,QC_BEFORE_NI_COATING
205,20UPBBB0002611,QC_BEFORE_NI_COATING
206,20UPBBB0002612,QC_BEFORE_NI_COATING
207,20UPBBB0002613,QC_BEFORE_NI_COATING
208,20UPBBB0002614,QC_BEFORE_NI_COATING
209,20UPBBB0002615,QC_BEFORE_NI_COATING
210,20UPBBB0002616,QC_BEFORE_NI_COATING
211,20UPBBB0002617,QC_BEFORE_NI_COATING
212,20UPBBB0002618,QC_BEFORE_NI_COATING
213,20UPBBB0002619,QC_BEFORE_NI_COATING
214,20UPBBB0002620,QC_BEFORE_NI_COATING
215,20UPBBB0002621,QC_BEFORE_NI_COATING
216,20UPBBB0002622,QC_BEFORE_NI_COATING
217,20UPBBB0002623,QC_BEFORE_NI_COATING
218,20UPBBB0002624,QC_BEFORE_NI_COATING
219,20UPBBB0002625,QC_BEFORE_NI_COATING
220,20UPBBB0002626,QC_BEFORE_NI_COATING
221,20UPBBB0002627,QC_BEFORE_NI_COATING
222,20UPBBB0002628,QC_BEFORE_NI_COATING
223,20UPBBB0002629,QC_BEFORE_NI_COATING
224,20UPBBB0002630,QC_BEFORE_NI_COATING
225,20UPBBB0002631,QC_BEFORE_NI_COATING
226,20UPBBB0002632,QC_BEFORE_NI_COATING
227,20UPBBB0002633,QC_BEFORE_NI_COATING
228,20UPBBB0002634,QC_BEFORE_NI_COATING
229,20UPBBB0002635,QC_BEFORE_NI_COATING
230,20UPBBB0002636,QC_BEFORE_NI_COATING
231,20UPBBB0002637,QC_BEFORE_NI_COATING
232,20UPBBB0002638,QC_BEFORE_NI_COATING
233,20UPBBB0002639,QC_BEFORE_NI_COATING
234,20UPBBB0002640,QC_BEFORE_NI_COATING
235,20UPBBB0002641,QC_BEFORE_NI_COATING
236,20UPBBB0002642,QC_BEFORE_NI_COATING
237,20UPBBB0002643,QC_BEFORE_NI_COATING
238,20UPBBB0002644,QC_BEFORE_NI_COATING
239,20UPBBB0002645,QC_BEFORE_NI_COATING
240,20UPBBB0002646,QC_BEFORE_NI_COATING
241,20UPBBB0002647,QC_BEFORE_NI_COATING
242,20UPBBB0002648,QC_BEFORE_NI_COATING
243,20UPBBB0002649,QC_BEFORE_NI_COATING
244,20UPBBB0002650,QC_BEFORE_NI_COATING
245,20UPBBB0002651,QC_BEFORE_NI_COATING
246,20UPBBB0002652,QC_BEFORE_NI_COATING
247,20UPBBB0002653,QC_BEFORE_NI_COATING
248,20UPBBB0002654,QC_BEFORE_NI_COATING
249,20UPBBB0002655,QC_BEFORE_NI_COATING
250,20UPBBB0002656,QC_BEFORE_NI_COATING
251,20UPBBB0002657,QC_BEFORE_NI_COATING
252,20UPBBB0002658,QC_BEFORE_NI_COATING
253,20UPBBB0002659,QC_BEFORE_NI_COATING
254,20UPBBB0002660,QC_BEFORE_NI_COATING
255,20UPBBB0002661,QC_BEFORE_NI_COATING
256,20UPBBB0002662,QC_BEFORE_NI_COATING
257,20UPBBB0002663,QC_BEFORE_NI_COATING
258,20UPBBB0002664,QC_BEFORE_NI_COATING
259,20UPBBB0002665,QC_BEFORE_NI_COATING
260,20UPBBB0002666,QC_BEFORE_NI_COATING
261,20UPBBB0002667,QC_BEFORE_NI_COATING
262,20UPBBB0002668,QC_BEFORE_NI_COATING
263,20UPBBB0002669,QC_BEFORE_NI_COATING
264,20UPBBB0002670,QC_BEFORE_NI_COATING
265,20UPBBB0002671,QC_BEFORE_NI_COATING
266,20UPBBB0002672,QC_BEFORE_NI_COATING
267,20UPBBB0002673,QC_BEFORE_NI_COATING
268,20UPBBB0002674,QC_BEFORE_NI_COATING
269,20UPBBB0002675,QC_BEFORE_NI_COATING
270,20UPBBB0002676,QC_BEFORE_NI_COATING
271,20UPBBB0002677,QC_BEFORE_NI_COATING
272,20UPBBB0002678,QC_BEFORE_NI_COATING
273,20UPBBB0002679,QC_BEFORE_NI_COATING
274,20UPBBB0002680,QC_BEFORE_NI_COATING
275,20UPBBB0002681,QC_BEFORE_NI_COATING
276,20UPBBB0002682,QC_BEFORE_NI_COATING
277,20UPBBB0002683,QC_BEFORE_NI_COATING
278,20UPBBB0002684,QC_BEFORE_NI_COATING
279,20UPBBB0002685,QC_BEFORE_NI_COATING
280,20UPBBB0002686,QC_BEFORE_NI_COATING
281,20UPBBB0002687,QC_BEFORE_NI_COATING
282,20UPBBB0002688,QC_BEFORE_NI_COATING
283,20UPBBB0002689,QC_BEFORE_NI_COATING
284,20UPBBB0002690,QC_BEFORE_NI_COATING
285,20UPBBB0002691,QC_BEFORE_NI_COATING
286,20UPBBB0002692,QC_BEFORE_NI_COATING
287,20UPBBB0002693,QC_BEFORE_NI_COATING
288,20UPBBB0002694,QC_BEFORE_NI_COATING
289,20UPBBB0002695,QC_BEFORE_NI_COATING
290,20UPBBB0002696,QC_BEFORE_NI_COATING
291,20UPBBB0002697,QC_BEFORE_NI_COATING
292,20UPBBB0002698,QC_BEFORE_NI_COATING
293,20UPBBB0002699,QC_BEFORE_NI_COATING
294,20UPBBB0002700,QC_BEFORE_NI_COATING
295,20UPBBB0002701,QC_BEFORE_NI_COATING
296,20UPBBB0002702,QC_BEFORE_NI_COATING
297,20UPBBB0002703,QC_BEFORE_NI_COATING
298,20UPBBB0002704,QC_BEFORE_NI_COATING
299,20UPBBB0002705,QC_BEFORE_NI_COATING
300,20UPBBB0002706,QC_BEFORE_NI_COATING
301,20UPBBB0002707,QC_BEFORE_NI_COATING
302,20UPBBB0002708,QC_BEFORE_NI_COATING
303,20UPBBB0002709,QC_BEFORE_NI_COATING
304,20UPBBB0002710,QC_BEFORE_NI_COATING
305,20UPBBB0002711,QC_BEFORE_NI_COATING
306,20UPBBB0002712,QC_BEFORE_NI_COATING
307,20UPBBB0002713,QC_BEFORE_NI_COATING
308,20UPBBB0002714,QC_BEFORE_NI_COATING
309,20UPBBB0002715,QC_BEFORE_NI_COATING
310,20UPBBB0002716,QC_BEFORE_NI_COATING
311,20UPBBB0002717,QC_BEFORE_NI_COATING
312,20UPBBB0002718,QC_BEFORE_NI_COATING
313,20UPBBB0002719,QC_BEFORE_NI_COATING
314,20UPBBB0002720,QC_BEFORE_NI_COATING
315,20UPBBB0002721,QC_BEFORE_NI_COATING
316,20UPBBB0002722,QC_BEFORE_NI_COATING
317,20UPBBB0002723,QC_BEFORE_NI_COATING
318,20UPBBB0002724,QC_BEFORE_NI_COATING
319,20UPBBB0002725,QC_BEFORE_NI_COATING
320,20UPBBB0002726,QC_BEFORE_NI_COATING
321,20UPBBB0002727,QC_BEFORE_NI_COATING
322,20UPBBB0002728,QC_BEFORE_NI_COATING
323,20UPBBB0002729,QC_BEFORE_NI_COATING
324,20UPBBB0002730,QC_BEFORE_NI_COATING
325,20UPBBB0002731,QC_BEFORE_NI_COATING
326,20UPBBB0002732,QC_BEFORE_NI_COATING
327,20UPBBB0002733,QC_BEFORE_NI_COATING
328,20UPBBB0002734,QC_BEFORE_NI_COATING
329,20UPBBB0002735,QC_BEFORE_NI_COATING
330,20UPBBB0002736,QC_BEFORE_NI_COATING
331,20UPBBB0002737,QC_BEFORE_NI_COATING
332,20UPBBB0002738,QC_BEFORE_NI_COATING
333,20UPBBB0002739,QC_BEFORE_NI_COATING
334,20UPBBB0002740,QC_BEFORE_NI_COATING
335,20UPBBB0002741,QC_BEFORE_NI_COATING
336,20UPBBB0002742,QC_BEFORE_NI_COATING
337,20UPBBB0002743,QC_BEFORE_NI_COATING
338,20UPBBB0002744,QC_BEFORE_NI_COATING
339,20UPBBB0002745,QC_BEFORE_NI_COATING
340,20UPBBB0002746,QC_BEFORE_NI_COATING
341,20UPBBB0002747,QC_BEFORE_NI_COATING
342,20UPBBB0002748,QC_BEFORE_NI_COATING
